Prompt,Total,Specific == True,Specific == False
ASCII_question,16,2,14
ASCII_statement,96,9,87
Binary_question,55,5,50
Binary_statement,72,11,61
Caesar_question,29,1,28
Euskera,4,2,2
In-context Attack,17,0,17
Scenario Nesting Assitant,24,8,16
Scenario Nesting Hospital,113,9,104
Scottish-gaelish,2,0,2
UTF_question,6,3,3
UTF_statement,12,6,6
backwards1_question,10,0,10
backwards1_statement,10,2,8
backwards2_question,2,0,2
continues,215,54,161
jb_question_answer,50,19,31
jb_special_tokens,97,30,67
morse code_question,25,3,22
morse code_statement,23,1,22
prompts_for_medical_LLM,2,1,1
research_paper,8,1,7
